Name,Year,ID,Release Date
Super Mario Bros ,1985,9371,13/09/1985
Super Mario Bros. 2,1988,9372,01/09/1988
Super Mario Land,1989,9380,31/07/1989
Super Mario Bros. 3 ,1990,9373,12/02/1990
Super Mario World ,1991,9387,13/11/1991
Super Mario Land 2: 6 Golden Coins,1992,9381,21/10/1992
Mario is Missing!,1993,5632,01/09/1993
Super Mario 64 ,1996,9364,23/06/1996
Super Mario Sunshine ,2002,9386,19/07/2002
Super Princess Peach,2005,9409,20/10/2005
New Super Mario Bros.,2006,6534,15/05/2006
Super Mario Galaxy ,2007,9377,01/11/2007
New Super Mario Bros Wii ,2009,6537,15/11/2009
Super Mario Galaxy 2,2010,9378,23/05/2010
Super Mario 3D Land,2011,9361,03/11/2011
New Super Mario Bros 2 ,2012,6535,28/07/2012
Super Mario 3D World,2013,9362,21/11/2013
Super Mario Maker,2015,19215,11/09/2015
Super Mario Run,2016,42171,15/12/2016
Super Mario Odyssey,2017,42833,27/10/2017
New Super Mario Bros. U Deluxe,2019,63660,11/01/2019
Super Mario Maker 2,2019,65004,28/06/2019
Super Mario 3D World + Bowser's Fury,2021,82771,12/02/2021
