game,year,type,hours,position
Super Mario Bros.,1985,pipe,1,1
Super Mario Bros.,1985,top,1,2
Super Mario World,1990,pipe,1,1
Super Mario World,1990,pipe,1,2
Super Mario World,1990,pipe,1,3
Super Mario World,1990,pipe,1,4
Super Mario World,1990,top,1,5
Super Mario 64,1996,pipe,1,1
Super Mario 64,1996,pipe,1,2
Super Mario 64,1996,pipe,1,3
Super Mario 64,1996,pipe,1,4
Super Mario 64,1996,pipe,1,5
Super Mario 64,1996,pipe,1,6
Super Mario 64,1996,pipe,1,7
Super Mario 64,1996,pipe,1,8
Super Mario 64,1996,pipe,1,9
Super Mario 64,1996,pipe,1,10
Super Mario 64,1996,pipe,1,11
Super Mario 64,1996,top,1,12
